Patent Number,Title,Unique Identifier,
DD113202-A,Hydrothermal synthesis of zeolites - from inferior materials purified in soln. by precipitating undesirable cations.,DIIDW:197546263W,
CN108273546-A; CN108273546-B,"Preparation of catalyst used for catalytic cracking of naphtha to propylene, involves mixing tetrapropylammonium hydroxide, tetrapropyl bromide and distilled water, stirring, adding EU-1 molecular sieve and calcining.",DIIDW:201856204A,
US2004162454-A1; WO2005077866-A1; EP1713748-A1; KR2006116220-A; MX2006008227-A1; CN1918088-A; BR200507362-A; JP2007523075-W; US7361797-B2; RU2327520-C1; EP1713748-B1; DE602005009499-E; MX262156-B; TW200528397-A; MX275512-B; KR2012001806-A; JP4869948-B2; KR1121424-B1; GC1075-A; CA2553682-C; KR1186912-B1; TW373452-B1; SG124588-A1; SG124588-B; MY140013-A; BR200507362-B1,"Alkylation of hydrocarbon compound to produce e.g. gasoline product having high Research Octane Number, involves reacting alkylatable hydrocarbon with alkylating agent in the presence of nanocrystalline zeolite catalyst.",DIIDW:2004603588,
PL448852-A1,"Improving component for methanol synthesis catalyst, comprises zeolite, preferably sodium aluminosilicate hydrate, and graphene oxide in preset content ratio.",DIIDW:202573161C,
CN119504331-A,Use of modified S-1 zeolite molecular sieve in photothermal catalytic carbon dioxide hydrogenation reaction.,DIIDW:2025224907,
CN108114613-A,"Preparation of acid-resistant zeolite molecular sieve film used in dehydration of acidic organic solvents, involves dissolving aluminum source and silicon source in aqueous solution of tetraethylammonium hydroxide and aging.",DIIDW:201845555W,
US2007048214-A1; US7569507-B2,"Preparation of dewaxing catalyst for isomerizing hydrocarbon feed, e.g. gas oils, comprises synthesizing small crystal zeolite having predetermined mole ratio of silica to alumina including subjecting crystals to ion-exchange.",DIIDW:2007387420,
JP2004123457-A,"Synthesis of zeolite film involves surface treating support with ultrasonic wave, and forming zeolite film on treated support.",DIIDW:2004352648,
CN116747898-A,"Sheet heteroatom zeolite molecular sieve catalyst used in catalytic cracking reaction of polyolefin plastic, has sheet ZSM-5 zeolite molecular sieve with MFI type crystal structure.",DIIDW:2023999024,
CN102963904-A; CN102963904-B,"Synthesis of P-zeolite includes adding alkali solution to kaolin, filtering, dissolving in hydrochloric acid, filtering, adding sodium hydroxide, filtering, adding alkali solution, reacting, washing and filtering.",DIIDW:2013J65166,
CN116139916-A; CN116139916-B,"Multi-phase metal multi-stage porous channel zeolite molecular sieve catalyst for preparing low-carbon alcohol, comprises multiphase metal oxide as active component, and multi-stage porous channel zeolite molecular sieve as carrier.",DIIDW:202358241H,
WO2013133651-A1; KR2013102509-A; KR2013102510-A; US2015018438-A1; US9259717-B2; KR2061202-B1; KR2061235-B1,"Activation of catalyst used for Fischer-Tropsch synthesis, involves reducing oxide in catalyst to metal, processing with carbon-monoxide gas and converting into carbide, contacting with hydrogen-containing gas, and reducing carbide.",DIIDW:2013N20559,
JP2008285365-A; JP5125221-B2,"Hydrothermal synthesis apparatus for zeolite film used in manufacture of e.g. liquid separation film, has rotation shaft that is connected to outer periphery of reaction container filled with zeolite film containing liquid.",DIIDW:2008N63813,
FR3024662-A1; WO2016020386-A1; FR3024662-B1; EP3177584-A1; US2017226031-A1; CN107073438-A; EP3177584-B1; US10125064-B2; ZA201700565-A; CN107073438-B; TR201819715-T4,"Separating meta-xylene using a zeolitic adsorbent comprising at least one faujasite type zeolite Y containing sodium, or sodium and lithium.",DIIDW:201610566J,
US2025065279-A1; WO2025049377-A1,"System for synthesis of valuable chemicals from carbon dioxide and hydrogen, has catalytic membrane reactor containing bi-functional catalyst material including alcohol synthesis catalyst component to catalyze reaction, and dehydration catalyst component to catalyze dehydration of alcohol.",DIIDW:202521704F,
RO96839-A,Selective conversion of synthesis gas to aromatic hydrocarbon(s) - in presence of iron-oxide catalysts transition metal promoters and zeolite component.,DIIDW:1989307141,
CN107488111-A; CN107488111-B,"Synthesis of propyl gallate, involves mixing gallic acid with n-propanol, stirring, heating, adding mordenite zeolite catalyst, continuously and refluxively heating, reacting, filtering, and concentrating filtrate.",DIIDW:201788839A,
DE2029242-A; FR2146618-A,Synthetic potassium zeolites - with improved thermal stability by direct synthesis.,DIIDW:197200267T,
CN102311805-A; CN102311805-B,"Preparation of Vaseline for e.g. cosmetics, involves contacting mixture of hydrogen and Fischer-Tropsch wax with hydrogenation catalyst under specified conditions, and subjecting obtained reaction effluent to gas-liquid separation.",DIIDW:2012B57735,
CN105692643-A; CN105692643-B,"Synthesis of zeolite crystal structure, involves mixing deionized water with aluminum source, adding sodium hydroxide, adding silicon source under stirring conditions and stirring to silica-alumina gel.",DIIDW:201640336T,
CN102942441-A; CN102942441-B,Synthesis of p-xylene comprises taking toluene and dimethyl carbonate and reacting with modified MCM-22 zeolite catalyst.,DIIDW:2013J15986,
US5942207-A,Preparation of new hybrid zeolite-silicates used as water softeners and detergent builders.,DIIDW:1999493490,
CN101829542-A; CN101829542-B,"High silver supported zeolite molecular sieve acetic acid deiodination, useful for synthesizing vinyl acetate, where its preparation comprises ring opening of zeolite molecular sieve powder, adding binder and generating chemical bonds.",DIIDW:2010N15942,
CN1051334-A; CN1023554-C,"Synthesis of zeolite by vapour-phase method - involves pouring organic matter and water into reactor, sealing, crystallisation, quenching and drying.",DIIDW:1992042007,
CN111871454-A,"Preparing chabazite zeolite molecular sieve, comprises taking N,N,N-trialkyl-quinuclidin-4-quaternium as the organic template and synthesizing.",DIIDW:2020B20850,
US2007282019-A1; JP2007238608-A; CN101016494-A; CN101016494-B; CN102942975-A,Liquefied petroleum gas production comprises producing methanol or dimethyl ether from synthesis gas using catalyst and producing liquefied petroleum gas from crude methanol or dimethyl ether without purification.,DIIDW:2008A32714,
CN105129812-A; CN105129812-B,"Preparation of synthetic zeolite DD3R involves obtaining zeolite synthesis mother liquor by mixing ammonium fluorosilicate silicon source, amantadine, aluminum source, water and ethylenediamine, heating, filtering, and washing.",DIIDW:201581298N,
JP59048423-A; JP90012452-B,"High yield hydrocarbon prodn. - by converting synthesis gas using catalyst comprising vanadium oxide, ruthenium and crystalline zeolite.",DIIDW:1984104850,
CN8800228-A,Synthesis of mercerised zeolite in non-aq. system - involves direct prodn. of aluminium silicate gel and dispersion in an organic phase.,DIIDW:1989220929,
CN1361060-A; CN1137049-C,"Synthesis of MCM-49 zeolite comprises mixture of hexamethylene imine, caprolactam and rest water in specified proportions.",DIIDW:2002733788,
RO96838-A,"Selective conversion of synthesis gas to octane fuels - in presence of iron oxide catalysts, copper, cobalt, manganese and magnesium promoters and ZSM-5 zeolite.",DIIDW:1989307140,
US2025243075-A1; WO2025165803-A1,"Method for synthesis of aluminosilicate zeolite involves forming homogeneous aqueous mixture of silica source, alumina source, alkali metal source, optional structure directing agent optional seed material, water and water-soluble oxidized disulfide oil at compositional ratio effective for zeolite.",DIIDW:202577086K,
WO2024010995-A1; CN119365419-A; KR2025033214-A; EP4551515-A1; US2025206625-A1; JP2025521944-W,"Method of making molecular sieve used as adsorbent, involves preparing synthesis mixture comprising e.g. water, structure directing agent comprising 1,2,3,4,6,7,8,9-octahydropyridazino(1,2-a)indazol-10-ium cation, mineralizer comprising hydroxide ions or fluoride ions, heating and recovering.",DIIDW:202405932P,
CN106348312-A; CN106348312-B,"Inorganic synthesis method for regulating morphology of ZSM-5 molecular sieve, involves adding silicon source, alkali source, and aluminum source to pure water, and uniformly stirring to obtain silica-alumina gel.",DIIDW:201709704P,
JP2009227484-A; JP5594710-B2,Manufacture of lithium type zeolite for concreting material involves adding lithium hydroxide aqueous solution to metakaol and manufacturing alkali concentration of lithium type zeolite in low shorter synthesis time.,DIIDW:2009P44292,
RU2205689-C1,"Method of preparing high-silica zeolites, involves using ammonium bicarbonate if modified by adding soluble ferric salts to reaction mixture in the hydrothermal synthesis stage.",DIIDW:2003566146,
EP3165504-A1,"Removal of metal carbonyl e.g. iron pentacarbonyl, involves contacting synthesis gas with activated carbon, silica, silica-alumina, zeolite and/or molecular sieve, hydrolyzing hydrogen cyanide and/or carbonyl sulfide, cooling and removing.",DIIDW:201729874K,
CN105600803-A,"Synthesis of low silica type zeolite molecular sieve, involves dissolving kaolin in water, adding sodium hydroxide and potassium hydroxide slowly, stirring, adding crystal seed, stirring, and aging at room temperature.",DIIDW:201632699M,
WO200123339-A1; AU200077834-A; EP1220823-A1; IT1313654-B; EP1220823-B1; DE60008564-E; WO200123339-A8,Synthesis of 2-hydroxyphenylalkyl ketones with high conversion rate comprising interaction of phenyl ester with crystalline aluminosilicate (pentasyl type) catalyst of particular porosity.,DIIDW:2001290501,
EP12534-A; BR7908257-A; ZA7906434-A; EP12534-B; DE2962000-G; CA1135678-A,"Catalytic composite of iron oxide, hydrogel matrix and zeolite - for converting synthesis gas to naphtha.",DIIDW:198046690C,
CN105418386-A; CN105418386-B,"Synthesizing 2,3,4,5,6-pentafluorophenol comprises hydrolyzing 2,3,4,5,6-pentafluro-1-halogeno benzene in presence of catalyst and alkali to obtain 2,3,4,5,6-pentafluorophenol sodium salt, and treatment in presence of zeolite catalyst.",DIIDW:201619611T,
CN106517240-A; CN106517240-B,"Synthesis of snowflake-shaped zeolite socony mobil-12 zeolite molecular sieve using single small molecular organic template involves mixing water, silicon and alkali source, and template or aluminum source, crystallizing mixture and drying.",DIIDW:201721137R,
WO2025008276-A1; DK202330116-A,"Producing hydrocarbons, used as jet fuel, sustainable aviation fuel comprises e.g. supplying alcohol feed stream to alcohol-to-hydrocarbons synthesis section having alcohol-to-olefins section having alcohol stream of alcohol and/or methanol.",DIIDW:202503888Q,
US4906671-A,Prodn. of diesel oil from synthesis gas in high yield using Fischer-Tropsch catalyst contg. zeolite in controlled amt. and activity.,DIIDW:1990123596,
KR2025063004-A,"Production of cobalt silicate catalyst used for selective catalytic oxidation of ammonia, involves synthesizing borosilicate zeolite precursor, dissolving zeolite precursor in aqueous solution of cobalt hexahydrate, and hydrothermally treating.",DIIDW:2025506950,
CN118847200-A,"Preparing copper-beta-zeolite catalyst useful for preparing caprolactam by caprolactone comprises reacting copper nitrate trihydrate with industrial ammonium hydroxide to synthesize copper ammonia complex, dissolving, impregnating zeolite carrier, calcining and performing hydrogen reduction.",DIIDW:2024B6756E,
US2016168476-A1; WO2016094138-A1; US9670416-B2,"Making fuel from synthesis gas, comprises e.g. passing synthesis gas through first reactor to convert synthesis gas to methanol and water, passing second exit stream through third reactor containing third and fourth catalyst and recycling.",DIIDW:2016368316,
EP1136121-A2; US2001034467-A1; JP2001335316-A; US6635233-B2; US2004038804-A1; US6878264-B2; EP1136121-A3,"New CFI-type zeolite, useful as catalyst for aromatic compound conversion reactions, especially isomerization, has silicon to heteroatom atomic ratio of 45 or less.",DIIDW:2002076784,
CN103332703-A; CN103332703-B,"Synthesis of ZSM-48 zeolite involves adding tetramethyl ammonium hydroxide as template, potassium hydroxide as alkali source, aluminum source and water, dubbing template solution, stirring, aging, crystallizing, washing and drying.",DIIDW:2013W88593,
